Count,Set,Set# (usemeâ˜…),Card Name,Foil,List,Language(if not english)
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,94,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,95,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,96,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,97,,,,
,VOW,118,,,,
,VOW,118,,,,
,VOW,118,,,,
,VOW,118,,,,
,VOW,118,,,,
,VOW,113,,,,
,VOW,113,,,,
,VOW,113,,,,
,VOW,113,,,,
,VOW,113,,,,
,VOW,114,,,,
,VOW,114,,,,
,VOW,114,,,,
,VOW,114,,,,
,VOW,114,,,,
,VOW,110,,,,
,VOW,110,,,,
,VOW,110,,,,
,VOW,110,,,,
,VOW,110,,,,
,VOW,123,,,,
,VOW,126,,,,
,VOW,122,,,,
,VOW,120,,,,
,VOW,180,,,,
